dataset, median, 90th, 95th, 99th, max, mean, mse, mape, pccs, , query_dur_ms
cols_6_distinct_1000_corr_8_skew_4, 1.1549443982540013, 2.0, 3.0, 5.0, 41.0, 1.4972637610412896, 15356.795, 35.37301430518534, (0.999614037924124, 0.0), 11.830252647399902
cols_6_distinct_1000_corr_8_skew_6, 1.1428571428571428, 2.0, 3.0, 4.009999999999991, 14.0, 1.4399741318283714, 31615.596, 39.76228354530691, (0.9997614233247387, 0.0), 11.902046918869019
cols_6_distinct_1000_corr_8_skew_8, 1.2, 2.0, 3.0, 5.0, 10.5, 1.484871764734167, 5979.13, 44.47396082027594, (0.9997263075867764, 0.0), 11.857934474945068
cols_6_distinct_10000_corr_2_skew_2, 1.0486871467148278, 2.0, 2.0, 4.0, 8.0, 1.2555482699375276, 14182.106, 17.686229043696336, (0.9997497145060541, 0.0), 87.68650913238525
cols_6_distinct_10000_corr_2_skew_4, 1.0779440898084967, 2.0, 2.5, 5.0, 11.0, 1.3353809752093022, 40069.304, 23.572524517835923, (0.9992547210979313, 0.0), 87.7026150226593
cols_6_distinct_10000_corr_2_skew_6, 1.1352229832871883, 2.0, 2.4049999999999954, 4.002499999999998, 18.0, 1.37842797339116, 95694.309, 26.475904624885455, (0.9985011945883281, 0.0), 87.51569557189941
cols_6_distinct_10000_corr_2_skew_8, 1.2702386711820672, 2.1681818181818184, 3.0, 5.0, 10.0, 1.548130863869161, 274780.86, 38.67811301920322, (0.99548161731787, 0.0), 87.59908175468445
cols_6_distinct_10000_corr_4_skew_2, 1.071718931475029, 2.0, 2.5728571428571416, 7.0, 17.0, 1.3776057334349567, 19621.061, 22.658115177707987, (0.9995928588368851, 0.0), 86.54830169677734
cols_6_distinct_10000_corr_4_skew_4, 1.1250601539942253, 2.0, 3.0, 5.503999999999996, 17.0, 1.4103199835112072, 110995.068, 26.271465722249193, (0.9981622523567207, 0.0), 87.52357459068298
cols_6_distinct_10000_corr_4_skew_6, 1.2233505747126436, 2.173951048951049, 3.0, 5.0, 8.0, 1.495132662419419, 271550.829, 32.062656462073306, (0.9934300399634668, 0.0), 87.24712419509888
cols_6_distinct_10000_corr_4_skew_8, 1.3660780915240365, 2.4825305810397555, 3.0, 4.89758620689655, 14.0, 1.6338558689093645, 508930.15, 43.01804704334028, (0.9902713403518231, 0.0), 99.35110545158386
cols_6_distinct_10000_corr_6_skew_2, 1.0966858476115295, 2.0, 3.0, 6.0, 24.0, 1.4470349885141622, 34752.813, 30.253996443658387, (0.9992015399266588, 0.0), 99.25255274772644
cols_6_distinct_10000_corr_6_skew_4, 1.1551057394101054, 2.0, 3.0, 5.00555555555555, 18.0, 1.4480125171389253, 100083.402, 29.80962474414202, (0.9980295090916715, 0.0), 99.1826524734497
cols_6_distinct_10000_corr_6_skew_6, 1.2521694698272463, 2.1307246376811597, 3.0, 6.0, 19.0, 1.561329490014802, 333810.843, 39.79783079731425, (0.9961620240535178, 0.0), 98.85231351852417
cols_6_distinct_10000_corr_6_skew_8, 1.3449360150912613, 2.6291666666666678, 3.2639410187667552, 7.0, 23.333333333333332, 1.6999637315279323, 707781.069, 49.38001933225932, (0.9918470217006434, 0.0), 98.72708129882812
cols_6_distinct_10000_corr_8_skew_2, 1.1358188750061364, 2.0, 3.0, 6.252499999999998, 18.5, 1.4543996250608993, 39908.216, 34.02947056525781, (0.9992101733508651, 0.0), 99.14670038223267
